Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-11 00:00:00-05:00,1313.4,1313.4,1304.7,1307.0,119,0.0,0.0
2019-02-12 00:00:00-05:00,1310.0,1312.0,1307.6,1309.2,109,0.0,0.0
2019-02-13 00:00:00-05:00,1311.6,1316.0,1308.1,1310.8,143,0.0,0.0
2019-02-14 00:00:00-05:00,1305.0,1311.8,1301.6,1309.8,858,0.0,0.0
2019-02-15 00:00:00-05:00,1313.6,1318.8,1313.6,1318.1,190,0.0,0.0
2019-02-19 00:00:00-05:00,1320.9,1340.1,1320.5,1340.1,390,0.0,0.0
2019-02-20 00:00:00-05:00,1342.2,1344.0,1338.0,1343.3,581,0.0,0.0
2019-02-21 00:00:00-05:00,1331.3,1334.9,1320.9,1323.5,414,0.0,0.0
2019-02-22 00:00:00-05:00,1324.2,1331.3,1321.0,1329.2,718,0.0,0.0
2019-02-25 00:00:00-05:00,1329.2,1331.6,1325.6,1325.9,185,0.0,0.0
2019-02-26 00:00:00-05:00,1323.3,1325.5,1323.3,1325.1,939,0.0,0.0
2019-02-27 00:00:00-05:00,1327.7,1327.9,1316.5,1317.7,604,0.0,0.0
2019-02-28 00:00:00-05:00,1321.1,1323.7,1311.5,1312.8,141,0.0,0.0
2019-03-01 00:00:00-05:00,1312.2,1312.2,1288.9,1296.4,110,0.0,0.0
2019-03-04 00:00:00-05:00,1285.5,1287.0,1281.9,1284.8,28,0.0,0.0
2019-03-05 00:00:00-05:00,1287.0,1287.0,1282.0,1282.0,114,0.0,0.0
2019-03-06 00:00:00-05:00,1287.1,1287.1,1282.6,1284.9,14,0.0,0.0
2019-03-07 00:00:00-05:00,1281.0,1284.6,1281.0,1283.8,11,0.0,0.0
2019-03-08 00:00:00-05:00,1292.1,1297.4,1291.6,1297.0,10,0.0,0.0
2019-03-11 00:00:00-04:00,1291.0,1291.0,1288.8,1288.8,9,0.0,0.0
2019-03-12 00:00:00-04:00,1294.7,1296.3,1294.7,1296.3,1,0.0,0.0
2019-03-13 00:00:00-04:00,1307.5,1307.5,1307.5,1307.5,0,0.0,0.0
2019-03-14 00:00:00-04:00,1293.4,1293.4,1293.4,1293.4,1,0.0,0.0
2019-03-15 00:00:00-04:00,1300.9,1304.7,1300.5,1301.8,26,0.0,0.0
2019-03-18 00:00:00-04:00,1297.3,1302.2,1297.3,1300.3,8,0.0,0.0
2019-03-19 00:00:00-04:00,1306.9,1306.9,1304.8,1305.0,20,0.0,0.0
2019-03-20 00:00:00-04:00,1300.7,1300.7,1300.5,1300.5,2,0.0,0.0
2019-03-21 00:00:00-04:00,1306.1,1306.1,1306.1,1306.1,0,0.0,0.0
2019-03-22 00:00:00-04:00,1311.6,1311.6,1311.6,1311.6,0,0.0,0.0
2019-03-25 00:00:00-04:00,1320.7,1322.9,1320.7,1321.9,19,0.0,0.0
2019-03-26 00:00:00-04:00,1315.6,1315.6,1314.3,1314.3,1,0.0,0.0
2019-03-27 00:00:00-04:00,1309.9,1309.9,1309.9,1309.9,206263,0.0,0.0
2019-03-28 00:00:00-04:00,1308.4,1311.1,1287.7,1289.8,87798,0.0,0.0
2019-03-29 00:00:00-04:00,1289.6,1298.5,1286.1,1293.0,1265,0.0,0.0
2019-04-01 00:00:00-04:00,1291.8,1295.9,1285.7,1288.4,675,0.0,0.0
2019-04-02 00:00:00-04:00,1286.3,1290.9,1284.5,1290.0,525,0.0,0.0
2019-04-03 00:00:00-04:00,1291.4,1293.1,1287.5,1289.9,172,0.0,0.0
2019-04-04 00:00:00-04:00,1290.6,1292.6,1279.5,1289.0,269,0.0,0.0
2019-04-05 00:00:00-04:00,1292.0,1292.0,1283.6,1290.4,181,0.0,0.0
2019-04-08 00:00:00-04:00,1292.2,1302.1,1291.8,1297.1,63,0.0,0.0
2019-04-09 00:00:00-04:00,1298.5,1304.9,1298.5,1303.5,30,0.0,0.0
2019-04-10 00:00:00-04:00,1304.0,1309.1,1301.5,1309.1,66,0.0,0.0
2019-04-11 00:00:00-04:00,1307.0,1307.1,1288.6,1288.6,420,0.0,0.0
2019-04-12 00:00:00-04:00,1293.4,1293.4,1289.2,1290.6,607,0.0,0.0
2019-04-15 00:00:00-04:00,1284.8,1287.3,1282.3,1286.8,523,0.0,0.0
2019-04-16 00:00:00-04:00,1285.2,1285.2,1272.2,1272.6,643,0.0,0.0
2019-04-17 00:00:00-04:00,1273.5,1273.5,1271.6,1272.2,308,0.0,0.0
2019-04-18 00:00:00-04:00,1270.8,1273.6,1270.1,1271.9,27,0.0,0.0
2019-04-22 00:00:00-04:00,1273.5,1273.5,1273.5,1273.5,147,0.0,0.0
2019-04-23 00:00:00-04:00,1266.4,1269.8,1266.0,1269.3,206,0.0,0.0
